INFO 2025-03-04 09:52:12,922 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-04 09:52:12,924 autoreload Waiting for apps ready_event.
DEBUG 2025-03-04 09:52:14,289 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-04 09:52:14,308 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\leaflet\templates with glob **/*.
DEBUG 2025-03-04 09:52:14,308 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-03-04 09:52:14,309 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\drf_yasg\templates with glob **/*.
DEBUG 2025-03-04 09:52:14,309 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\locale with glob **/*.mo.
DEBUG 2025-03-04 09:52:14,309 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\Mainapp\locale with glob **/*.mo.
DEBUG 2025-03-04 09:52:14,309 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-03-04 09:52:14,309 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\leaflet\locale with glob **/*.mo.
DEBUG 2025-03-04 09:52:14,310 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\drf_yasg\locale with glob **/*.mo.
DEBUG 2025-03-04 09:52:14,310 autoreload Watching dir C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-03-04 09:52:14,644 utils (0.031) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2025-03-04 09:52:14,658 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-03-04 09:52:14,835 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\chardet\mbcssm.py first seen with mtime 1739957193.658887
DEBUG 2025-03-04 09:52:14,836 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\chardet\escsm.py first seen with mtime 1739957193.6176162
DEBUG 2025-03-04 09:52:14,836 autoreload File C:\Users\sanke\AppData\Local\Programs\Python\Python311\Lib\email\mime\text.py first seen with mtime 1712041974.0
DEBUG 2025-03-04 09:52:14,836 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\Mainapp\models\admin_user.py first seen with mtime 1740040952.317005
DEBUG 2025-03-04 09:52:14,836 autoreload File C:\Users\sanke\AppData\Local\Programs\Python\Python311\Lib\email\_header_value_parser.py first seen with mtime 1712041974.0
DEBUG 2025-03-04 09:52:14,836 autoreload File C:\Users\sanke\AppData\Local\Programs\Python\Python311\Lib\pprint.py first seen with mtime 1712041974.0
DEBUG 2025-03-04 09:52:14,836 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\rest_framework\reverse.py first seen with mtime 1739957280.5722222
DEBUG 2025-03-04 09:52:14,837 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\utils\cache.py first seen with mtime 1739957214.8616576
DEBUG 2025-03-04 09:52:14,837 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\colorama\winterm.py first seen with mtime 1739957192.8518543
DEBUG 2025-03-04 09:52:14,837 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\contrib\gis\db\backends\postgis\operations.py first seen with mtime 1739957211.5623636
DEBUG 2025-03-04 09:52:14,837 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\colorama\initialise.py first seen with mtime 1739957192.8474424
DEBUG 2025-03-04 09:52:14,837 autoreload File C:\Users\sanke\AppData\Local\Programs\Python\Python311\Lib\zipfile.py first seen with mtime 1712041974.0
DEBUG 2025-03-04 09:52:14,837 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1739957212.5088778
DEBUG 2025-03-04 09:52:14,838 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1739957214.6006825
DEBUG 2025-03-04 09:52:14,838 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\contrib\postgres\fields\hstore.py first seen with mtime 1739957212.5531874
DEBUG 2025-03-04 09:52:14,838 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1739957214.5786772
DEBUG 2025-03-04 09:52:14,838 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\Mainapp\admin\additional_info_admin.py first seen with mtime 1740648382.029699
DEBUG 2025-03-04 09:52:14,838 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1739957214.851659
DEBUG 2025-03-04 09:52:14,838 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\utils\_os.py first seen with mtime 1739957214.8556573
DEBUG 2025-03-04 09:52:14,838 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\drf_yasg\__init__.py first seen with mtime 1739957286.3630056
DEBUG 2025-03-04 09:52:14,839 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1739957208.4829955
DEBUG 2025-03-04 09:52:14,839 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\django\contrib\gis\geos\prepared.py first seen with mtime 1739957211.676228
DEBUG 2025-03-04 09:52:14,839 autoreload File C:\Users\sanke\AppData\Local\Programs\Python\Python311\Lib\__future__.py first seen with mtime 1712041974.0
DEBUG 2025-03-04 09:52:14,839 autoreload File C:\Users\sanke\Desktop\Chhaya_FullStack\Chhaya_new_backend\env\Lib\site-packages\drf_yasg\inspectors\base.py first seen with mtime 1739957286.3801026
DEBUG 2025-03-04 09:52:14,839 autoreload File C:\Users\sanke\AppData\Local\Programs\Python\Python311\Lib\_weakrefset.py first seen with mtime 1712041974.0
